股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8131,福懋科,20250602,225989,5790156,26.15,26.15,25.50,25.50,-0.80,255
8131,福懋科,20250603,182827,4697609,25.70,25.90,25.50,25.80,+0.30,124
8131,福懋科,20250604,150260,3926583,25.90,26.35,25.90,26.15,+0.35,108
8131,福懋科,20250605,1041637,27930495,26.10,27.20,26.10,26.70,+0.55,455
8131,福懋科,20250606,263232,6991729,26.70,26.85,26.20,26.70, 0.00,181
8131,福懋科,20250609,91549,2431495,26.80,26.85,26.40,26.50,-0.20,115
8131,福懋科,20250610,445767,11947509,26.50,27.05,26.40,26.85,+0.35,272
8131,福懋科,20250611,185937,4961644,26.95,26.95,26.55,26.65,-0.20,134
8131,福懋科,20250612,193690,5149735,26.65,26.70,26.50,26.60,-0.05,115
8131,福懋科,20250613,284013,7469516,26.40,26.55,26.20,26.30,-0.30,197
8131,福懋科,20250616,1207158,32512498,26.75,27.15,26.65,27.10,+0.80,524
8131,福懋科,20250617,386514,10456052,27.15,27.30,26.80,26.90,-0.20,232
8131,福懋科,20250618,1099568,30317227,26.85,27.85,26.85,27.65,+0.75,672
8131,福懋科,20250619,540711,14679349,27.70,27.75,26.90,26.95,-0.70,322
8131,福懋科,20250620,323555,8711741,27.10,27.10,26.80,26.80,-0.15,215
