股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8249,菱光,20250602,966403,46854122,49.35,49.70,47.80,48.10,-1.20,801
8249,菱光,20250603,860000,41018634,48.80,48.80,47.05,47.35,-0.75,659
8249,菱光,20250604,6536387,333302168,48.00,52.00,48.00,52.00,+4.65,"5,561"
8249,菱光,20250605,6010305,308984239,51.50,52.90,50.40,50.70,-1.30,"4,547"
8249,菱光,20250606,2969996,151343672,50.80,51.90,50.10,51.40,+0.70,"2,074"
8249,菱光,20250609,1902745,95805070,51.20,51.50,49.70,50.40,-1.00,"1,416"
8249,菱光,20250610,8917964,468598890,50.00,53.80,49.70,52.60,+2.20,"6,106"
8249,菱光,20250611,3355681,174555298,52.60,52.90,51.50,51.60,-1.00,"3,735"
8249,菱光,20250612,3372453,176172451,51.50,53.10,50.90,51.80,+0.20,"2,256"
8249,菱光,20250613,1800008,91136069,51.30,51.30,50.10,50.30,-1.50,"1,438"
8249,菱光,20250616,1100157,54677258,49.75,50.10,49.35,49.90,-0.40,870
8249,菱光,20250617,1292003,64185076,50.30,50.70,49.10,49.30,-0.60,"1,005"
8249,菱光,20250618,2616142,133335602,50.00,51.80,49.30,51.50,+2.20,"1,961"
8249,菱光,20250619,2430664,124189287,51.10,52.20,50.20,50.40,-1.10,"1,844"
8249,菱光,20250620,1360543,68313008,50.10,51.40,49.50,50.30,-0.10,"1,074"
