股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8429,金麗-KY,20250602,261222,2160730,8.38,8.38,8.20,8.22,-0.25,191
8429,金麗-KY,20250603,247718,2039179,8.25,8.26,8.18,8.20,-0.02,165
8429,金麗-KY,20250604,173809,1438055,8.27,8.32,8.22,8.27,+0.07,141
8429,金麗-KY,20250605,267951,2209914,8.27,8.27,8.23,8.24,-0.03,180
8429,金麗-KY,20250606,174958,1441554,8.25,8.31,8.21,8.23,-0.01,109
8429,金麗-KY,20250609,366155,2970418,8.24,8.24,8.00,8.06,-0.17,289
8429,金麗-KY,20250610,291062,2367712,8.05,8.19,8.00,8.14,+0.08,187
8429,金麗-KY,20250611,217873,1781642,8.20,8.21,8.14,8.17,+0.03,163
8429,金麗-KY,20250612,213986,1746916,8.16,8.22,8.12,8.17, 0.00,124
8429,金麗-KY,20250613,239730,1937076,8.17,8.17,8.04,8.05,-0.12,183
8429,金麗-KY,20250616,167668,1345440,8.01,8.05,8.00,8.05, 0.00,125
8429,金麗-KY,20250617,290383,2347070,8.12,8.18,7.98,8.08,+0.03,159
8429,金麗-KY,20250618,167485,1349723,8.06,8.08,8.02,8.06,-0.02,120
8429,金麗-KY,20250619,342561,2729699,8.03,8.03,7.93,7.94,-0.12,201
8429,金麗-KY,20250620,264898,2090943,7.95,7.95,7.84,7.86,-0.08,201
