股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8438,昶昕,20250602,44761,1405844,31.90,31.90,31.00,31.20,-0.80,40
8438,昶昕,20250603,73064,2280288,32.15,32.15,30.85,30.85,-0.35,78
8438,昶昕,20250604,48478,1526866,31.30,31.85,31.20,31.20,+0.35,48
8438,昶昕,20250605,25476,807467,32.00,32.15,31.40,31.65,+0.45,32
8438,昶昕,20250606,27165,857883,31.40,31.85,31.35,31.75,+0.10,31
8438,昶昕,20250609,31254,975634,31.70,31.70,30.80,31.20,-0.55,32
8438,昶昕,20250610,43300,1357391,31.60,31.75,31.00,31.20, 0.00,46
8438,昶昕,20250611,41158,1293525,31.30,31.75,31.05,31.65,+0.45,56
8438,昶昕,20250612,41234,1261135,30.50,30.90,30.35,30.90,X0.00,57
8438,昶昕,20250613,37159,1128594,30.80,30.85,30.10,30.15,-0.75,31
8438,昶昕,20250616,31497,942944,30.15,30.20,29.80,29.95,-0.20,37
8438,昶昕,20250617,40228,1195084,29.60,30.25,29.50,29.90,-0.05,37
8438,昶昕,20250618,45090,1351102,29.90,30.65,29.55,30.00,+0.10,43
8438,昶昕,20250619,31026,923382,29.85,30.05,29.50,29.75,-0.25,31
8438,昶昕,20250620,48016,1411180,29.60,29.80,29.00,29.55,-0.20,41
