股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8908,欣雄,20250602,40000,1682000,41.75,41.95,41.65,41.70,-0.30,260
8908,欣雄,20250603,55000,2315000,41.75,42.00,41.75,42.00,0.30,28
8908,欣雄,20250604,36000,1511000,41.85,41.90,41.80,41.90,-0.10,20
8908,欣雄,20250605,28000,1183000,41.75,41.90,41.75,41.85,-0.05,22
8908,欣雄,20250606,50000,2106000,41.85,42.05,41.85,41.90,0.05,30
8908,欣雄,20250609,20000,818000,41.95,41.95,41.70,41.90,0.00,38
8908,欣雄,20250610,15000,629000,41.90,41.95,41.75,41.75,-0.15,25
8908,欣雄,20250611,71000,2985000,41.80,42.00,41.70,41.95,0.20,55
8908,欣雄,20250612,33000,1386000,41.95,42.10,41.95,42.10,0.15,36
8908,欣雄,20250613,20000,823000,42.00,42.05,41.95,41.95,-0.15,30
8908,欣雄,20250616,26000,1107000,42.00,42.00,41.95,42.00,0.05,39
8908,欣雄,20250617,19000,789000,42.05,42.05,41.85,42.00,0.00,26
8908,欣雄,20250618,48000,2024000,41.90,41.90,41.70,41.75,-0.25,39
8908,欣雄,20250619,30000,1265000,41.95,41.95,41.75,41.75,0.00,43
8908,欣雄,20250620,57000,2382000,41.70,41.95,41.70,41.75,0.00,40
