股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8933,愛地雅,20250602,82000,536000,6.59,6.60,6.49,6.60,0.01,110
8933,愛地雅,20250603,53000,352000,6.75,6.75,6.52,6.55,-0.05,82
8933,愛地雅,20250604,31000,204000,6.57,6.66,6.55,6.58,0.03,75
8933,愛地雅,20250605,90000,604000,6.78,6.79,6.58,6.75,0.17,191
8933,愛地雅,20250606,68000,458000,6.75,6.80,6.64,6.75,0.00,122
8933,愛地雅,20250609,63000,424000,6.86,6.86,6.69,6.69,-0.06,85
8933,愛地雅,20250610,85000,577000,7.00,7.00,6.70,6.74,0.05,122
8933,愛地雅,20250611,81000,546000,6.74,6.90,6.68,6.77,0.03,99
8933,愛地雅,20250612,67000,450000,6.81,6.81,6.65,6.68,-0.09,129
8933,愛地雅,20250613,176000,1156000,6.66,6.66,6.50,6.53,-0.15,203
8933,愛地雅,20250616,62000,399000,6.53,6.53,6.31,6.52,-0.01,110
8933,愛地雅,20250617,166000,1069000,6.48,6.52,6.32,6.48,-0.04,179
8933,愛地雅,20250618,136000,870000,6.42,6.46,6.36,6.38,-0.10,166
8933,愛地雅,20250619,68000,432000,6.38,6.40,6.33,6.40,0.02,85
8933,愛地雅,20250620,123000,769000,6.41,6.41,6.20,6.22,-0.18,230
