股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8940,新天地,20250602,69175,1428119,21.60,21.60,19.75,20.35,-1.35,218
8940,新天地,20250603,122818,2444133,20.70,20.80,19.50,19.50,-0.85,339
8940,新天地,20250604,168499,3312557,19.80,20.30,19.00,19.00,-0.50,174
8940,新天地,20250605,121826,2383993,19.15,19.90,19.15,19.60,+0.60,180
8940,新天地,20250606,119908,2426916,19.70,20.70,19.70,20.45,+0.85,125
8940,新天地,20250609,83974,1751007,20.60,21.25,20.55,20.80,+0.35,80
8940,新天地,20250610,23624,491920,20.40,21.05,20.40,20.95,+0.15,55
8940,新天地,20250611,70416,1486363,21.15,21.40,20.85,20.95, 0.00,59
8940,新天地,20250612,41479,862267,21.15,21.15,20.60,20.95, 0.00,73
8940,新天地,20250613,23563,487010,21.00,21.00,20.55,20.55,-0.40,83
8940,新天地,20250616,70756,1414950,20.45,20.45,19.70,20.15,-0.40,100
8940,新天地,20250617,72392,1467704,20.20,20.60,20.05,20.55,+0.40,102
8940,新天地,20250618,77189,1562993,20.55,20.70,20.05,20.25,-0.30,99
8940,新天地,20250619,34507,697773,20.30,20.45,20.05,20.30,+0.05,60
8940,新天地,20250620,72044,1437422,19.75,20.30,19.75,19.95,-0.35,126
