股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9919,康那香,20250602,25303174,540331210,21.15,22.05,20.95,21.15, 0.00,"12,101"
9919,康那香,20250603,8170574,169199745,20.80,21.15,20.30,21.00,-0.15,"3,876"
9919,康那香,20250604,3729892,75744613,20.70,20.75,20.00,20.05,-0.95,"2,109"
9919,康那香,20250605,3271191,64110879,20.10,20.20,19.35,19.45,-0.60,"1,604"
9919,康那香,20250606,1624141,31559124,19.60,19.90,19.20,19.55,+0.10,866
9919,康那香,20250609,2132671,40161867,19.50,19.50,18.65,18.70,-0.85,"1,259"
9919,康那香,20250610,1342117,25312498,18.65,19.05,18.55,18.90,+0.20,568
9919,康那香,20250611,1372600,25603046,18.70,18.90,18.50,18.55,-0.35,694
9919,康那香,20250612,834558,15605185,18.55,18.90,18.55,18.55, 0.00,477
9919,康那香,20250613,1183372,21431256,18.55,18.70,17.85,17.85,-0.70,788
9919,康那香,20250616,890952,15848273,17.55,18.00,17.50,17.90,+0.05,446
9919,康那香,20250617,419565,7485918,17.90,18.00,17.70,17.75,-0.15,316
9919,康那香,20250618,709451,12819795,17.75,18.25,17.75,17.95,+0.20,447
9919,康那香,20250619,827850,14639230,18.10,18.10,17.50,17.50,-0.45,513
9919,康那香,20250620,430494,7459726,17.45,17.55,17.20,17.30,-0.20,296
