股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9930,中聯資源,20250602,155352,12096266,76.50,78.40,76.50,77.90,-0.10,171
9930,中聯資源,20250603,82683,6477075,78.50,78.80,77.90,78.50,+0.60,108
9930,中聯資源,20250604,76931,6051431,78.80,79.00,78.40,78.60,+0.10,103
9930,中聯資源,20250605,100755,7904110,78.70,79.00,78.00,78.30,-0.30,108
9930,中聯資源,20250606,210469,16288556,78.20,78.20,76.80,77.00,-1.30,254
9930,中聯資源,20250609,111077,8594390,77.70,77.80,77.00,77.40,+0.40,129
9930,中聯資源,20250610,270716,21101331,77.90,78.60,77.50,77.90,+0.50,190
9930,中聯資源,20250611,354593,27035761,77.00,77.00,75.50,76.40,-1.50,357
9930,中聯資源,20250612,175973,13422703,76.20,77.00,75.70,76.40, 0.00,224
9930,中聯資源,20250613,188387,14287268,75.60,76.70,75.60,75.60,-0.80,234
9930,中聯資源,20250616,138145,10453960,76.50,76.50,75.30,75.70,+0.10,147
9930,中聯資源,20250617,154301,11774485,76.10,76.70,76.10,76.60,+0.90,143
9930,中聯資源,20250618,209251,16085251,76.50,77.70,76.10,76.70,+0.10,199
9930,中聯資源,20250619,194707,14749322,76.10,76.60,75.30,75.40,-1.30,225
9930,中聯資源,20250620,296993,22096461,75.50,75.50,73.80,74.50,-0.90,282
