股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9935,慶豐富,20250602,321250,7795917,24.65,24.65,24.10,24.15,-0.70,301
9935,慶豐富,20250603,213842,5165426,24.15,24.35,24.05,24.10,-0.05,192
9935,慶豐富,20250604,405214,9808975,24.05,24.45,24.05,24.05,-0.05,322
9935,慶豐富,20250605,744406,17857910,24.05,24.25,23.75,23.95,-0.10,454
9935,慶豐富,20250606,634574,15482524,24.10,24.65,24.00,24.30,+0.35,434
9935,慶豐富,20250609,371620,9035773,24.50,24.50,24.20,24.20,-0.10,299
9935,慶豐富,20250610,255322,6220824,24.20,24.50,24.15,24.30,+0.10,246
9935,慶豐富,20250611,2037486,48047970,24.20,24.20,23.35,23.35,-0.95,"1,246"
9935,慶豐富,20250612,991865,23639988,23.80,24.15,23.45,23.90,+0.55,587
9935,慶豐富,20250613,757926,18109591,23.95,24.10,23.70,23.80,-0.10,495
9935,慶豐富,20250616,539148,12960371,23.80,24.40,23.65,24.15,+0.35,382
9935,慶豐富,20250617,501744,12113039,24.20,24.30,24.00,24.00,-0.15,251
9935,慶豐富,20250618,374717,9044812,24.00,24.25,23.90,24.05,+0.05,187
9935,慶豐富,20250619,586802,13961229,24.00,24.00,23.70,23.70,-0.35,368
9935,慶豐富,20250620,481375,11391991,23.75,23.85,23.40,23.75,+0.05,345
