股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9937,全國,20250602,50831,3135464,62.30,62.30,61.20,61.20,-1.50,58
9937,全國,20250603,26361,1619402,61.90,61.90,61.10,61.20, 0.00,61
9937,全國,20250604,1064026,69122025,62.20,62.60,61.40,61.50,+0.30,21
9937,全國,20250605,5847,361670,61.50,62.40,61.50,61.80,+0.30,28
9937,全國,20250606,3814,236088,62.40,62.40,61.90,62.30,+0.50,24
9937,全國,20250609,1246,77171,62.00,62.00,62.00,62.00,-0.30,10
9937,全國,20250610,1637678,106375884,62.60,63.10,62.40,62.40,+0.40,44
9937,全國,20250611,18057,1121351,62.50,62.50,61.80,61.90,-0.50,18
9937,全國,20250612,25173,1559504,62.00,62.00,61.70,62.00,+0.10,25
9937,全國,20250613,50767,3124101,61.40,62.00,61.10,61.90,-0.10,57
9937,全國,20250616,1113908,72248235,62.10,62.80,62.10,62.60,+0.70,64
9937,全國,20250617,32001,1999762,62.20,62.70,62.10,62.70,+0.10,28
9937,全國,20250618,29355,1840609,62.60,62.90,62.60,62.80,+0.10,31
9937,全國,20250619,73666,4581460,62.20,62.50,61.50,62.30,-0.50,67
9937,全國,20250620,88302,5508741,62.30,62.80,61.40,62.30, 0.00,63
