股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9943,好樂迪,20250602,84169,6500297,78.00,78.00,76.70,76.70,-1.40,182
9943,好樂迪,20250603,44970,3452546,76.90,76.90,76.60,76.60,-0.10,62
9943,好樂迪,20250604,38284,2954080,77.00,77.50,77.00,77.30,+0.70,65
9943,好樂迪,20250605,21880,1686402,77.50,77.50,76.80,76.90,-0.40,72
9943,好樂迪,20250606,37977,2923411,77.70,77.70,76.70,76.80,-0.10,62
9943,好樂迪,20250609,19698,1515213,76.90,77.10,76.70,76.80, 0.00,44
9943,好樂迪,20250610,46392,3577977,77.20,77.50,76.80,77.10,+0.30,67
9943,好樂迪,20250611,22377,1725805,77.40,77.40,76.90,77.30,+0.20,51
9943,好樂迪,20250612,22478,1734544,77.30,77.40,77.00,77.10,-0.20,57
9943,好樂迪,20250613,52495,4035487,76.90,77.00,76.70,76.80,-0.30,108
9943,好樂迪,20250616,27810,2133763,76.50,77.00,76.50,77.00,+0.20,94
9943,好樂迪,20250617,39716,3051252,77.00,77.00,76.60,76.60,-0.40,76
9943,好樂迪,20250618,42410,3247701,76.70,77.00,76.30,76.90,+0.30,67
9943,好樂迪,20250619,43779,3371041,76.50,77.30,76.50,77.30,+0.40,63
9943,好樂迪,20250620,100146,7734453,77.30,77.60,76.80,77.20,-0.10,91
