股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9946,三發地產,20250602,317455,6587879,21.40,21.40,20.60,20.65,-0.45,242
9946,三發地產,20250603,208511,4358032,20.70,21.05,20.70,20.90,+0.25,141
9946,三發地產,20250604,152497,3243856,21.05,21.50,21.05,21.30,+0.40,124
9946,三發地產,20250605,535096,11705373,21.40,22.05,21.40,22.00,+0.70,291
9946,三發地產,20250606,977950,22467304,22.00,23.50,22.00,23.05,+1.05,684
9946,三發地產,20250609,630473,14025397,23.35,23.35,22.00,22.05,-1.00,462
9946,三發地產,20250610,240514,5333269,22.00,22.45,21.90,22.15,+0.10,184
9946,三發地產,20250611,233194,5166781,22.15,22.30,22.00,22.20,+0.05,174
9946,三發地產,20250612,197765,4392950,22.25,22.40,22.10,22.15,-0.05,122
9946,三發地產,20250613,369038,8020246,22.00,22.00,21.55,21.55,-0.60,248
9946,三發地產,20250616,436874,9254392,21.50,21.55,20.85,21.10,-0.45,289
9946,三發地產,20250617,114703,2426502,21.30,21.40,21.00,21.10, 0.00,108
9946,三發地產,20250618,105953,2247763,21.00,21.35,21.00,21.25,+0.15,82
9946,三發地產,20250619,220657,4647611,21.45,21.45,20.90,20.90,-0.35,175
9946,三發地產,20250620,336191,6853566,20.95,20.95,20.10,20.25,-0.65,278
