股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1102,亞泥,20250602,6697500,279274659,41.70,42.10,41.40,41.70,-0.15,"3,511"
1102,亞泥,20250603,6887204,286873101,41.85,41.90,41.40,41.80,+0.10,"2,478"
1102,亞泥,20250604,9353378,389712306,41.85,42.20,41.40,41.40,-0.40,"3,595"
1102,亞泥,20250605,4453025,185699884,41.55,42.00,41.40,41.65,+0.25,"1,980"
1102,亞泥,20250606,3394740,142788923,41.70,42.15,41.70,42.10,+0.45,"1,937"
1102,亞泥,20250609,4215995,178084576,42.45,42.45,42.05,42.20,+0.10,"2,498"
1102,亞泥,20250610,5100864,218068627,42.25,43.05,42.25,42.80,+0.60,"2,489"
1102,亞泥,20250611,4825466,207306168,42.60,43.20,42.55,43.15,+0.35,"2,542"
1102,亞泥,20250612,7756396,330401654,43.00,43.05,42.20,42.80,-0.35,"3,969"
1102,亞泥,20250613,7523326,324556033,42.30,43.40,42.30,43.40,+0.60,"3,533"
1102,亞泥,20250616,53821318,2233449409,42.70,43.10,42.30,42.90,-0.50,"3,661"
1102,亞泥,20250617,12065418,518306698,43.05,43.30,42.55,42.80,-0.10,"4,150"
1102,亞泥,20250618,10570865,450146434,42.75,42.95,42.40,42.45,-0.35,"4,796"
1102,亞泥,20250619,8673987,365131878,42.35,42.80,41.80,41.85,-0.60,"3,361"
1102,亞泥,20250620,11916515,498721272,41.85,42.10,41.60,41.85, 0.00,"2,535"
