股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1203,味王,20250602,46586,1811472,39.75,39.75,38.65,38.65,-1.40,222
1203,味王,20250603,35292,1351078,38.65,39.05,38.10,38.15,-0.50,107
1203,味王,20250604,15293,588570,38.00,39.35,37.90,38.60,+0.45,80
1203,味王,20250605,3930,151598,38.55,38.55,38.40,38.40,-0.20,71
1203,味王,20250606,4342,166892,38.40,38.55,38.40,38.55,+0.15,41
1203,味王,20250609,1700,65792,38.55,38.55,38.55,38.55, 0.00,51
1203,味王,20250610,30660,1208159,38.50,39.70,38.50,39.50,+0.95,59
1203,味王,20250611,10034,392447,39.55,39.55,38.90,39.45,-0.05,58
1203,味王,20250612,19821,781525,39.45,39.50,39.40,39.40,-0.05,29
1203,味王,20250613,32710,1261384,38.80,38.80,38.35,38.55,-0.85,75
1203,味王,20250616,22412,871260,38.85,39.30,38.45,39.15,+0.60,70
1203,味王,20250617,17169,667071,38.55,39.25,38.55,39.25,+0.10,42
1203,味王,20250618,17137,673763,39.25,39.65,38.85,39.65,+0.40,55
1203,味王,20250619,62339,2415896,38.75,39.65,38.55,38.80,-0.85,94
1203,味王,20250620,10469,404594,38.55,38.95,38.55,38.65,-0.15,42
