股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1232,大統益,20250602,159267,25960847,165.50,165.50,162.00,163.00,-2.00,"2,442"
1232,大統益,20250603,122022,19863302,163.00,163.50,162.00,162.00,-1.00,897
1232,大統益,20250604,111964,18199576,162.00,163.50,162.00,162.00, 0.00,601
1232,大統益,20250605,79898,12998418,162.00,163.50,162.00,162.50,+0.50,459
1232,大統益,20250606,99354,16246845,163.00,164.50,162.50,162.50, 0.00,182
1232,大統益,20250609,102363,16677181,162.50,163.50,162.50,163.00,+0.50,232
1232,大統益,20250610,195253,31856941,163.00,164.00,162.50,163.50,+0.50,652
1232,大統益,20250611,231620,36028360,157.00,157.00,154.50,155.00,X0.00,"1,057"
1232,大統益,20250612,154397,23683581,155.00,155.00,152.50,153.00,-2.00,440
1232,大統益,20250613,120188,18263379,152.50,152.50,151.50,151.50,-1.50,317
1232,大統益,20250616,298774,44797625,151.00,152.00,149.00,149.50,-2.00,613
1232,大統益,20250617,92997,14023433,149.50,152.00,149.50,151.50,+2.00,190
1232,大統益,20250618,203744,30574392,150.50,151.50,148.50,150.00,-1.50,448
1232,大統益,20250619,80487,12021622,149.50,150.00,149.00,149.00,-1.00,259
1232,大統益,20250620,96914,14471889,149.50,150.00,149.00,149.00, 0.00,181
