股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1264,德麥,20250602,9000,2795000,320.50,320.50,316.00,316.00,-6.50,160
1264,德麥,20250603,4000,1275000,318.00,319.00,318.00,319.00,3.00,66
1264,德麥,20250604,4000,1236000,319.00,319.00,319.00,319.00,0.00,92
1264,德麥,20250605,5000,1595000,319.00,319.00,318.50,318.50,-0.50,97
1264,德麥,20250606,5000,1662000,320.00,320.50,320.00,320.50,2.00,64
1264,德麥,20250609,14000,4577000,319.00,319.00,317.00,317.00,-3.50,136
1264,德麥,20250610,9000,2925000,317.00,317.00,317.00,317.00,0.00,85
1264,德麥,20250611,4000,1163000,319.50,319.50,319.50,319.50,2.50,37
1264,德麥,20250612,6000,2074000,319.00,320.00,319.00,319.50,0.00,63
1264,德麥,20250613,2000,643000,320.00,320.00,320.00,320.00,0.50,80
1264,德麥,20250616,8000,2485000,319.00,321.50,319.00,320.00,0.00,67
1264,德麥,20250617,2000,750000,320.00,320.00,320.00,320.00,0.00,54
1264,德麥,20250618,4000,1385000,320.00,321.50,320.00,320.00,0.00,68
1264,德麥,20250619,1000,314000,--,--,--,--,0.00,45
1264,德麥,20250620,6000,1819000,317.00,317.50,317.00,317.50,-2.00,102
