股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2718,全心投控,20250602,66000,3378000,52.60,52.60,50.50,50.50,-1.10,70
2718,全心投控,20250603,20000,1034000,50.50,51.40,50.50,51.20,0.70,25
2718,全心投控,20250604,38000,1926000,50.80,51.20,50.70,51.00,-0.20,53
2718,全心投控,20250605,49000,2493000,51.20,51.80,50.60,50.70,-0.30,63
2718,全心投控,20250606,62000,3212000,50.70,52.10,50.70,52.00,1.30,53
2718,全心投控,20250609,39000,2033000,53.50,53.50,51.40,52.00,0.00,35
2718,全心投控,20250610,110000,5809000,53.10,53.10,52.50,52.50,0.50,124
2718,全心投控,20250611,33000,1746000,52.60,53.10,52.50,52.60,0.10,33
2718,全心投控,20250612,68000,3615000,53.10,53.20,52.70,52.90,0.30,54
2718,全心投控,20250613,33000,1716000,52.40,52.90,52.20,52.60,-0.30,26
2718,全心投控,20250616,3000,134000,52.30,52.30,52.30,52.30,-0.30,107
2718,全心投控,20250617,22000,1139000,52.50,52.80,51.50,52.10,-0.20,133
2718,全心投控,20250618,117000,5894000,51.50,52.80,49.20,49.20,-2.90,141
2718,全心投控,20250619,139000,6780000,49.40,49.95,48.20,48.55,-0.65,325
2718,全心投控,20250620,36000,1741000,48.55,48.55,47.85,48.05,-0.50,76
