股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2734,易飛網,20250602,572000,12832000,23.30,23.30,22.10,22.35,-0.65,428
2734,易飛網,20250603,271000,6126000,22.35,22.80,22.30,22.75,0.40,206
2734,易飛網,20250604,312000,7141000,22.70,23.35,22.70,22.85,0.10,227
2734,易飛網,20250605,198000,4487000,23.00,23.00,22.45,22.45,-0.40,174
2734,易飛網,20250606,420000,9247000,22.45,22.50,21.70,21.80,-0.65,357
2734,易飛網,20250609,1208000,27969000,21.85,23.90,21.85,22.85,1.05,"1,144"
2734,易飛網,20250610,355000,8090000,22.65,23.20,22.55,22.85,0.00,318
2734,易飛網,20250611,833000,19547000,22.80,23.85,22.80,23.40,0.55,604
2734,易飛網,20250612,424000,9907000,23.80,23.80,23.00,23.70,0.30,366
2734,易飛網,20250613,624000,14675000,23.55,24.25,23.05,23.05,-0.65,523
2734,易飛網,20250616,320000,7228000,23.30,23.30,22.20,22.50,-0.55,280
2734,易飛網,20250617,216000,4820000,22.90,22.90,22.10,22.25,-0.25,276
2734,易飛網,20250618,159000,3530000,22.40,22.45,22.10,22.15,-0.10,164
2734,易飛網,20250619,366000,7912000,22.15,22.35,21.35,21.40,-0.75,304
2734,易飛網,20250620,219000,4624000,21.00,21.30,20.95,20.95,-0.45,212
