股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5013,強新,20250602,2000,44000,26.95,26.95,26.95,26.95,-0.20,2
5013,強新,20250603,439000,12069000,27.50,27.50,27.45,27.45,0.50,33
5013,強新,20250604,401000,11027000,27.30,27.50,27.30,27.50,0.05,2
5013,強新,20250605,6000,167000,27.70,27.70,27.55,27.70,0.20,13
5013,強新,20250606,19000,525000,27.85,27.95,27.35,27.70,0.00,14
5013,強新,20250609,1000,27000,27.45,27.45,27.45,27.45,-0.25,1
5013,強新,20250610,9000,247000,27.80,27.80,27.15,27.15,-0.30,7
5013,強新,20250611,14000,374000,27.00,27.45,26.65,26.90,-0.25,13
5013,強新,20250612,29000,778000,26.85,27.00,26.45,27.00,0.10,12
5013,強新,20250613,33000,882000,26.65,26.90,26.60,26.60,-0.40,13
5013,強新,20250616,3000,80000,26.65,26.70,26.65,26.70,0.10,4
5013,強新,20250617,20000,533000,26.75,26.80,26.35,26.60,-0.10,12
5013,強新,20250618,9000,238000,26.25,26.65,26.25,26.65,0.05,3
5013,強新,20250619,2000,53000,25.90,25.90,25.90,25.90,-0.75,5
5013,強新,20250620,22000,583000,26.75,26.80,26.15,26.60,0.70,15
