股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5603,陸海,20250602,250000,5565000,22.20,22.90,21.00,22.40,0.05,170
5603,陸海,20250603,1045000,23571000,22.50,23.40,21.70,22.20,-0.20,335
5603,陸海,20250604,445000,9873000,22.20,22.65,21.75,21.90,-0.30,286
5603,陸海,20250605,46000,1012000,22.10,22.10,21.85,21.85,-0.05,39
5603,陸海,20250606,29000,623000,21.90,22.00,21.70,21.80,-0.05,37
5603,陸海,20250609,40000,869000,22.15,22.15,21.50,21.50,-0.30,103
5603,陸海,20250610,32000,703000,21.55,21.80,21.55,21.60,0.10,108
5603,陸海,20250611,49000,1052000,21.65,21.65,21.45,21.60,0.00,176
5603,陸海,20250612,56000,1194000,21.60,21.60,21.35,21.35,-0.25,270
5603,陸海,20250613,36000,764000,21.40,21.40,21.25,21.30,-0.05,217
5603,陸海,20250616,26000,549000,21.20,21.35,21.05,21.35,0.05,142
5603,陸海,20250617,81000,1704000,21.15,21.70,21.00,21.65,0.30,181
5603,陸海,20250618,120000,2569000,21.40,22.00,21.05,21.05,-0.60,218
5603,陸海,20250619,72000,1502000,21.05,21.05,20.70,20.70,-0.35,264
5603,陸海,20250620,63000,1292000,20.50,20.70,20.00,20.70,0.00,283
