股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6924,榮惠-KY創,20250602,1000,72500,72.50,72.50,72.50,72.50,X0.00,1
6924,榮惠-KY創,20250603,1000,72500,72.50,72.50,72.50,72.50, 0.00,1
6924,榮惠-KY創,20250604,9000,657000,72.80,75.00,72.50,73.00,+0.50,7
6924,榮惠-KY創,20250605,2000,146000,73.00,73.00,73.00,73.00, 0.00,1
6924,榮惠-KY創,20250606,1000,73000,73.00,73.00,73.00,73.00, 0.00,1
6924,榮惠-KY創,20250609,2000,145500,73.00,73.00,72.50,72.50,-0.50,2
6924,榮惠-KY創,20250610,12000,881300,72.50,74.30,72.50,74.30,+1.80,7
6924,榮惠-KY創,20250611,8099,591326,73.00,73.00,73.00,73.00,-1.30,7
6924,榮惠-KY創,20250612,11000,801400,73.00,73.00,72.50,73.00, 0.00,10
6924,榮惠-KY創,20250613,0,0,--,--,--,--, 0.00,0
6924,榮惠-KY創,20250616,4000,292000,73.00,73.00,73.00,73.00,X0.00,4
6924,榮惠-KY創,20250617,21000,1509400,73.00,73.00,70.50,72.70,-0.30,19
6924,榮惠-KY創,20250618,1000,72700,72.70,72.70,72.70,72.70, 0.00,1
6924,榮惠-KY創,20250619,8000,581000,72.60,72.80,72.60,72.80,+0.10,4
6924,榮惠-KY創,20250620,1000,71800,71.80,71.80,71.80,71.80,-1.00,1
