股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
7743,金利食安,20250602,135000,3999000,30.30,30.40,29.25,29.30,-1.70,163
7743,金利食安,20250603,82000,2404000,29.05,30.20,29.05,29.15,-0.15,70
7743,金利食安,20250604,75000,2178000,29.20,29.70,28.90,29.25,0.10,59
7743,金利食安,20250605,155000,4671000,29.75,30.95,29.50,30.85,1.60,143
7743,金利食安,20250606,683000,22653000,30.80,33.90,30.10,33.90,3.05,"1,168"
7743,金利食安,20250609,415000,13757000,35.00,35.00,31.80,32.80,-1.10,307
7743,金利食安,20250610,129000,4188000,32.75,33.25,32.10,32.75,-0.05,196
7743,金利食安,20250611,226000,7084000,31.85,31.95,31.00,31.00,-1.75,226
7743,金利食安,20250612,60000,1835000,32.05,32.05,30.15,30.50,-0.50,57
7743,金利食安,20250613,50000,1532000,30.95,31.00,30.50,30.70,0.20,62
7743,金利食安,20250616,47000,1460000,30.25,31.50,30.25,30.75,0.05,36
7743,金利食安,20250617,37000,1123000,31.00,31.00,30.20,30.20,-0.55,34
7743,金利食安,20250618,34000,1031000,29.90,30.00,29.80,29.90,-0.30,36
7743,金利食安,20250619,41000,1261000,30.30,30.90,30.30,30.60,0.70,42
7743,金利食安,20250620,26000,803000,30.60,30.90,30.00,30.80,0.20,30
