股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1233,天仁,20250602,36779,1174850,32.45,32.45,31.65,31.75,-0.75,42
1233,天仁,20250603,4159,132705,31.90,31.90,31.90,31.90,+0.15,15
1233,天仁,20250604,14199,454823,31.90,32.20,31.90,31.90, 0.00,22
1233,天仁,20250605,3029,96826,32.05,32.05,31.90,31.90, 0.00,12
1233,天仁,20250606,36288,1150849,31.90,31.90,31.50,31.55,-0.35,32
1233,天仁,20250609,184917,5694684,31.85,31.85,30.05,30.25,-1.30,141
1233,天仁,20250610,17119,527892,30.85,30.95,30.75,30.80,+0.55,19
1233,天仁,20250611,51179,1594871,31.25,31.50,30.85,30.85,+0.05,44
1233,天仁,20250612,40276,1242938,31.55,31.55,30.70,30.70,-0.15,37
1233,天仁,20250613,16222,501868,30.90,31.20,30.70,31.15,+0.45,24
1233,天仁,20250616,4007,125219,31.20,31.30,31.20,31.30,+0.15,11
1233,天仁,20250617,25014,782168,31.30,31.35,30.90,31.35,+0.05,16
1233,天仁,20250618,14215,440982,31.10,31.15,30.85,31.10,-0.25,13
1233,天仁,20250619,22045,679698,31.10,31.10,30.70,30.90,-0.20,22
1233,天仁,20250620,9529,294539,30.90,31.05,30.90,30.90, 0.00,15
