股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1310,台苯,20250602,673335,5460945,8.30,8.30,8.01,8.04,-0.36,601
1310,台苯,20250603,1189119,9417100,8.01,8.11,7.82,7.82,-0.22,873
1310,台苯,20250604,1291662,10244835,7.90,8.03,7.85,7.93,+0.11,450
1310,台苯,20250605,716040,5738648,7.88,8.15,7.81,8.03,+0.10,393
1310,台苯,20250606,279714,2255894,8.14,8.14,8.03,8.05,+0.02,248
1310,台苯,20250609,5633347,46655898,8.17,8.85,7.68,8.03,-0.02,"2,587"
1310,台苯,20250610,850829,6902049,8.03,8.18,8.03,8.13,+0.10,512
1310,台苯,20250611,563907,4509161,8.13,8.13,7.91,7.98,-0.15,485
1310,台苯,20250612,500813,4013260,7.98,8.07,7.97,8.00,+0.02,303
1310,台苯,20250613,462363,3682292,7.98,8.03,7.85,7.96,-0.04,370
1310,台苯,20250616,802156,6522611,8.03,8.28,7.98,8.09,+0.13,515
1310,台苯,20250617,528932,4233688,8.11,8.14,7.93,8.01,-0.08,407
1310,台苯,20250618,509891,4075115,8.02,8.06,7.93,7.96,-0.05,375
1310,台苯,20250619,619457,4841325,7.96,7.96,7.78,7.80,-0.16,493
1310,台苯,20250620,1254230,9734767,7.92,7.92,7.68,7.72,-0.08,634
