股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1313,聯成,20250602,1598105,12737068,8.20,8.20,7.90,7.91,-0.31,837
1313,聯成,20250603,595786,4735216,7.94,8.02,7.92,7.94,+0.03,464
1313,聯成,20250604,871159,7054496,7.96,8.17,7.96,8.09,+0.15,532
1313,聯成,20250605,1207100,9856611,8.09,8.22,8.05,8.17,+0.08,485
1313,聯成,20250606,495476,4067668,8.19,8.25,8.17,8.25,+0.08,274
1313,聯成,20250609,794634,6483308,8.29,8.29,8.08,8.10,-0.15,487
1313,聯成,20250610,630735,5174159,8.12,8.27,8.12,8.12,+0.02,444
1313,聯成,20250611,614479,4979326,8.11,8.15,8.08,8.11,-0.01,338
1313,聯成,20250612,637267,5185789,8.16,8.17,8.11,8.12,+0.01,309
1313,聯成,20250613,1043082,8374333,8.08,8.15,7.98,8.00,-0.12,701
1313,聯成,20250616,1050299,8540519,8.18,8.20,8.03,8.15,+0.15,590
1313,聯成,20250617,1213863,9711416,8.16,8.16,7.95,7.96,-0.19,703
1313,聯成,20250618,705998,5623092,7.99,8.03,7.93,7.94,-0.02,511
1313,聯成,20250619,2658121,20620037,7.94,7.94,7.69,7.70,-0.24,"1,177"
1313,聯成,20250620,1565672,11921998,7.72,7.76,7.57,7.59,-0.11,812
