股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1443,立益物流,20250602,7571,232123,30.80,30.80,30.50,30.50,X0.00,16
1443,立益物流,20250603,11038,337308,30.70,30.70,30.45,30.50, 0.00,20
1443,立益物流,20250604,7004,215317,30.80,30.80,30.70,30.75,+0.25,9
1443,立益物流,20250605,2682,82033,30.60,30.70,30.60,30.70,-0.05,16
1443,立益物流,20250606,22290,676626,30.60,30.60,30.00,30.40,-0.30,25
1443,立益物流,20250609,2368,72380,30.60,30.60,30.60,30.60,+0.20,13
1443,立益物流,20250610,9100,279939,30.85,30.90,30.65,30.65,+0.05,15
1443,立益物流,20250611,11099,340520,30.65,30.75,30.60,30.75,+0.10,22
1443,立益物流,20250612,26002,794760,30.45,30.90,30.45,30.90,+0.15,20
1443,立益物流,20250613,20426,621271,30.50,30.50,30.25,30.25,-0.65,24
1443,立益物流,20250616,12059,365865,30.25,30.50,30.25,30.50,+0.25,19
1443,立益物流,20250617,5312,161263,30.50,30.50,30.30,30.40,-0.10,16
1443,立益物流,20250618,10897,331210,30.35,30.50,30.30,30.50,+0.10,24
1443,立益物流,20250619,25978,785292,30.25,30.60,30.10,30.25,-0.25,28
1443,立益物流,20250620,88031,2652040,30.25,30.70,29.95,30.70,+0.45,47
