股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1444,力麗,20250602,859728,5996213,7.00,7.00,6.95,6.96,-0.13,440
1444,力麗,20250603,470280,3254222,6.96,6.98,6.88,6.90,-0.06,316
1444,力麗,20250604,561112,3885531,6.89,6.99,6.88,6.89,-0.01,377
1444,力麗,20250605,381810,2629913,6.89,6.92,6.87,6.88,-0.01,222
1444,力麗,20250606,264701,1824629,6.90,6.92,6.87,6.91,+0.03,175
1444,力麗,20250609,575604,3951539,6.91,6.91,6.82,6.85,-0.06,296
1444,力麗,20250610,326184,2251902,6.85,6.95,6.85,6.88,+0.03,285
1444,力麗,20250611,487535,3349014,6.88,6.89,6.85,6.89,+0.01,252
1444,力麗,20250612,359892,2479564,6.89,6.90,6.86,6.90,+0.01,194
1444,力麗,20250613,1125672,7750101,6.82,6.98,6.78,6.91,+0.01,529
1444,力麗,20250616,926484,6355182,6.93,6.93,6.78,6.89,-0.02,471
1444,力麗,20250617,302382,2078984,6.85,6.90,6.85,6.86,-0.03,203
1444,力麗,20250618,467699,3179087,6.82,6.85,6.76,6.77,-0.09,392
1444,力麗,20250619,1972890,12980414,6.75,6.75,6.50,6.50,-0.27,"2,099"
1444,力麗,20250620,1427066,9212548,6.48,6.59,6.37,6.43,-0.07,"1,132"
