股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1460,宏遠,20250602,1013214,7099407,7.20,7.20,6.91,7.04,-0.25,373
1460,宏遠,20250603,468183,3259991,7.04,7.04,6.91,7.00,-0.04,232
1460,宏遠,20250604,321529,2254566,7.04,7.04,6.96,7.02,+0.02,185
1460,宏遠,20250605,81535,569733,7.00,7.03,6.92,6.97,-0.05,57
1460,宏遠,20250606,214929,1492847,6.96,7.01,6.92,6.98,+0.01,108
1460,宏遠,20250609,574863,3959844,6.98,6.99,6.85,6.93,-0.05,216
1460,宏遠,20250610,306180,2114073,6.88,7.00,6.84,6.95,+0.02,179
1460,宏遠,20250611,297258,2049635,6.94,7.08,6.85,6.87,-0.08,164
1460,宏遠,20250612,326311,2227300,6.87,6.90,6.79,6.79,-0.08,185
1460,宏遠,20250613,764369,5109995,6.73,6.85,6.57,6.77,-0.02,319
1460,宏遠,20250616,221155,1483502,6.77,6.77,6.66,6.74,-0.03,125
1460,宏遠,20250617,258791,1730484,6.74,6.74,6.65,6.65,-0.09,139
1460,宏遠,20250618,451554,2995866,6.64,6.73,6.60,6.65, 0.00,149
1460,宏遠,20250619,513492,3390456,6.65,6.66,6.57,6.65, 0.00,208
1460,宏遠,20250620,313364,2063781,6.60,6.64,6.52,6.64,-0.01,143
