股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1467,南緯,20250602,107911,903813,8.51,8.51,8.24,8.30,-0.22,159
1467,南緯,20250603,41238,342214,8.30,8.35,8.27,8.27,-0.03,67
1467,南緯,20250604,144739,1196408,8.28,8.42,8.18,8.18,-0.09,150
1467,南緯,20250605,231120,1858468,8.18,8.18,8.01,8.03,-0.15,178
1467,南緯,20250606,86018,698031,8.05,8.19,8.05,8.15,+0.12,80
1467,南緯,20250609,49748,403711,8.15,8.15,8.05,8.15, 0.00,68
1467,南緯,20250610,158026,1304607,8.15,8.32,8.12,8.28,+0.13,132
1467,南緯,20250611,90530,743491,8.30,8.30,8.17,8.21,-0.07,96
1467,南緯,20250612,34221,279280,8.15,8.22,8.13,8.19,-0.02,60
1467,南緯,20250613,115929,936875,8.09,8.10,8.02,8.03,-0.16,116
1467,南緯,20250616,61725,496436,7.99,8.10,7.99,8.08,+0.05,54
1467,南緯,20250617,60933,494395,8.10,8.15,8.10,8.14,+0.06,46
1467,南緯,20250618,52541,426413,8.05,8.17,8.04,8.13,-0.01,64
1467,南緯,20250619,535588,4332859,8.13,8.20,7.96,7.96,-0.17,165
1467,南緯,20250620,326639,2599694,8.00,8.00,7.88,7.88,-0.08,179
