股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1468,昶和,20250602,46001,649512,14.10,14.30,14.00,14.15,-0.15,39
1468,昶和,20250603,43000,608900,14.15,14.20,14.05,14.20,+0.05,26
1468,昶和,20250604,40042,569894,14.20,14.30,14.20,14.20, 0.00,32
1468,昶和,20250605,37000,528900,14.20,14.40,14.20,14.30,+0.10,22
1468,昶和,20250606,50000,720950,14.45,14.65,14.25,14.45,+0.15,35
1468,昶和,20250609,34000,491000,14.50,14.55,14.40,14.45, 0.00,17
1468,昶和,20250610,35001,512514,14.70,14.75,14.50,14.70,+0.25,25
1468,昶和,20250611,45000,654650,14.70,14.70,14.40,14.50,-0.20,28
1468,昶和,20250612,37000,533900,14.50,14.50,14.30,14.45,-0.05,17
1468,昶和,20250613,39000,556700,14.25,14.40,14.10,14.30,-0.15,31
1468,昶和,20250616,38000,541600,14.10,14.45,14.05,14.45,+0.15,25
1468,昶和,20250617,35000,500850,14.45,14.45,14.20,14.40,-0.05,30
1468,昶和,20250618,38000,542950,14.40,14.40,14.15,14.40, 0.00,27
1468,昶和,20250619,40028,566042,14.20,14.40,13.95,14.15,-0.25,36
1468,昶和,20250620,37062,525018,14.00,14.30,14.00,14.15, 0.00,20
