股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1471,首利,20250602,360098,3894889,10.90,11.15,10.70,10.70,-0.35,208
1471,首利,20250603,651846,7347987,10.70,11.55,10.70,11.15,+0.45,354
1471,首利,20250604,150106,1690865,11.45,11.50,11.15,11.20,+0.05,132
1471,首利,20250605,132430,1488964,11.40,11.40,11.15,11.20, 0.00,129
1471,首利,20250606,115110,1273762,11.30,11.30,11.00,11.10,-0.10,96
1471,首利,20250609,96406,1059053,11.10,11.10,10.90,10.95,-0.15,107
1471,首利,20250610,150540,1664026,10.95,11.20,10.95,11.00,+0.05,138
1471,首利,20250611,135325,1473644,10.90,11.00,10.85,10.85,-0.15,146
1471,首利,20250612,147294,1601878,10.85,11.00,10.80,10.95,+0.10,163
1471,首利,20250613,161813,1737529,10.80,10.90,10.65,10.65,-0.30,139
1471,首利,20250616,181494,1915187,10.55,10.70,10.50,10.65, 0.00,141
1471,首利,20250617,109322,1153738,10.45,10.70,10.45,10.50,-0.15,95
1471,首利,20250618,240470,2592763,10.50,11.20,10.45,11.10,+0.60,188
1471,首利,20250619,137254,1505281,11.10,11.25,10.80,10.80,-0.30,95
1471,首利,20250620,173159,1840089,10.80,11.05,10.55,10.55,-0.25,100
