股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1472,三洋實業,20250602,88290,8719639,97.70,99.70,97.50,98.80,+1.20,84
1472,三洋實業,20250603,70012,7038194,99.10,102.00,98.70,101.00,+2.20,66
1472,三洋實業,20250604,62688,6320794,101.50,103.00,99.20,99.90,-1.10,116
1472,三洋實業,20250605,118319,11783494,99.80,100.50,98.00,100.00,+0.10,82
1472,三洋實業,20250606,118214,11850584,100.50,101.00,99.30,99.80,-0.20,98
1472,三洋實業,20250609,115502,11418883,100.00,100.00,98.20,98.40,-1.40,150
1472,三洋實業,20250610,64017,6346470,98.90,100.00,98.50,98.60,+0.20,52
1472,三洋實業,20250611,388908,36174685,98.00,98.60,89.20,93.10,-5.50,666
1472,三洋實業,20250612,114328,10665488,93.40,94.60,91.80,93.00,-0.10,109
1472,三洋實業,20250613,83801,7809880,93.00,94.40,91.50,93.40,+0.40,72
1472,三洋實業,20250616,87422,8139634,98.60,98.60,91.60,92.10,-1.30,283
1472,三洋實業,20250617,79139,7269748,92.20,93.30,90.50,92.10, 0.00,72
1472,三洋實業,20250618,45278,4208014,93.30,93.30,92.30,92.80,+0.70,44
1472,三洋實業,20250619,28157,2588364,91.80,92.70,91.80,91.80,-1.00,33
1472,三洋實業,20250620,83061,7514831,91.80,93.10,89.50,91.80, 0.00,77
