股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1503,士電,20250602,4175837,725603219,176.50,177.50,172.00,173.00,-6.00,"3,783"
1503,士電,20250603,3592398,624207545,173.50,177.50,171.50,172.00,-1.00,"3,267"
1503,士電,20250604,2714917,473912621,174.50,176.00,172.50,175.50,+3.50,"2,224"
1503,士電,20250605,2869008,500955521,174.50,178.00,172.50,172.50,-3.00,"2,816"
1503,士電,20250606,1979697,345241479,174.50,176.00,173.00,173.00,+0.50,"2,443"
1503,士電,20250609,2385151,417239208,175.00,177.00,173.50,174.00,+1.00,"2,212"
1503,士電,20250610,1855937,327196535,175.50,177.50,174.00,177.00,+3.00,"2,554"
1503,士電,20250611,6597939,1192825397,180.00,184.00,178.50,181.00,+4.00,"6,073"
1503,士電,20250612,4556959,832554120,180.00,185.00,179.50,181.50,+0.50,"4,269"
1503,士電,20250613,7382367,1355159813,181.50,188.00,180.50,181.50, 0.00,"6,213"
1503,士電,20250616,3337011,610674944,181.00,184.50,179.50,184.50,+3.00,"3,085"
1503,士電,20250617,3938059,729010732,185.50,187.00,183.50,185.00,+0.50,"3,587"
1503,士電,20250618,14052318,2665540190,184.00,194.00,184.00,187.00,+2.00,"11,855"
1503,士電,20250619,4724879,868975371,187.50,189.00,181.50,183.00,-4.00,"10,659"
1503,士電,20250620,4229257,762991192,181.50,183.00,178.50,179.50,-3.50,"4,016"
