股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1525,江申,20250602,20093,1282534,65.00,65.00,63.70,63.70,-1.30,20
1525,江申,20250603,24002,1516332,63.50,64.00,62.80,62.80,-0.90,23
1525,江申,20250604,18248,1153939,63.50,64.20,63.00,63.50,+0.70,19
1525,江申,20250605,28297,1771786,63.10,63.10,62.40,62.60,-0.90,35
1525,江申,20250606,16288,1019818,62.50,63.00,62.40,62.50,-0.10,40
1525,江申,20250609,11036,701329,64.30,64.30,62.60,62.60,+0.10,16
1525,江申,20250610,11033,691835,62.60,63.20,62.50,62.50,-0.10,25
1525,江申,20250611,11521,724702,63.50,63.50,62.50,62.60,+0.10,20
1525,江申,20250612,12512,786703,64.90,64.90,62.50,62.50,-0.10,18
1525,江申,20250613,13342,826357,61.90,62.00,61.90,62.00,-0.50,25
1525,江申,20250616,15644,973201,62.00,62.80,62.00,62.00, 0.00,30
1525,江申,20250617,11017,682851,62.10,62.10,61.80,62.00, 0.00,12
1525,江申,20250618,4020,250750,62.00,62.50,62.00,62.50,+0.50,10
1525,江申,20250619,11549,713278,62.00,62.00,61.50,61.50,-1.00,99
1525,江申,20250620,18242,1115889,61.50,61.80,60.80,60.80,-0.70,25
