股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1531,高林股,20250602,202148,2484532,12.65,12.65,12.15,12.15,-0.65,221
1531,高林股,20250603,75536,913489,12.25,12.30,12.00,12.00,-0.15,126
1531,高林股,20250604,69378,850320,12.15,12.35,12.15,12.20,+0.20,45
1531,高林股,20250605,40586,496517,12.20,12.35,12.15,12.35,+0.15,64
1531,高林股,20250606,78491,969976,12.35,12.50,12.25,12.30,-0.05,71
1531,高林股,20250609,236519,2884320,12.45,12.45,12.05,12.05,-0.25,130
1531,高林股,20250610,79168,970256,12.15,12.40,12.15,12.25,+0.20,76
1531,高林股,20250611,155476,1880512,12.25,12.25,12.00,12.10,-0.15,167
1531,高林股,20250612,58998,710542,12.10,12.20,11.95,12.20,+0.10,73
1531,高林股,20250613,84272,1008730,12.15,12.15,11.90,11.90,-0.30,105
1531,高林股,20250616,102175,1208143,11.85,11.95,11.75,11.95,+0.05,104
1531,高林股,20250617,41695,497228,12.00,12.00,11.85,12.00,+0.05,75
1531,高林股,20250618,96808,1156722,11.95,12.00,11.85,11.90,-0.10,65
1531,高林股,20250619,140544,1649030,11.85,11.85,11.65,11.70,-0.20,136
1531,高林股,20250620,144610,1670234,11.70,11.70,11.45,11.55,-0.15,230
