股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1540,喬福,20250602,328657,9801404,30.15,30.15,29.55,29.90,-0.40,281
1540,喬福,20250603,220721,6616985,29.90,30.20,29.80,29.85,-0.05,191
1540,喬福,20250604,879640,27116545,30.00,31.30,30.00,30.90,+1.05,617
1540,喬福,20250605,365192,11323876,31.00,31.30,30.60,30.90, 0.00,247
1540,喬福,20250606,137081,4223782,31.25,31.25,30.55,30.55,-0.35,140
1540,喬福,20250609,298172,9065415,30.55,30.75,30.10,30.45,-0.10,213
1540,喬福,20250610,348192,10698005,30.40,31.05,30.40,30.55,+0.10,257
1540,喬福,20250611,425296,13177032,30.90,31.20,30.75,30.90,+0.35,299
1540,喬福,20250612,427270,13330080,31.00,31.80,30.80,30.95,+0.05,338
1540,喬福,20250613,496068,15006125,31.00,31.05,30.00,30.00,-0.95,369
1540,喬福,20250616,314528,9322962,30.00,30.00,29.50,29.80,-0.20,203
1540,喬福,20250617,186899,5579021,30.00,30.30,29.65,29.70,-0.10,166
1540,喬福,20250618,282638,8499058,29.60,30.35,29.60,30.15,+0.45,214
1540,喬福,20250619,272162,8016991,30.05,30.05,29.15,29.15,-1.00,231
1540,喬福,20250620,213015,6137012,29.55,29.55,28.45,28.85,-0.30,198
