股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1563,巧新,20250602,248820,13996465,56.20,56.70,55.70,56.30,+0.10,268
1563,巧新,20250603,251395,14055671,56.80,56.80,55.70,55.70,-0.60,248
1563,巧新,20250604,199293,11100514,56.50,56.50,55.40,55.70, 0.00,375
1563,巧新,20250605,139189,7793724,55.90,56.40,55.60,55.80,+0.10,162
1563,巧新,20250606,137232,7631544,55.70,55.90,55.50,55.50,-0.30,178
1563,巧新,20250609,187772,10398733,55.90,55.90,55.00,55.40,-0.10,212
1563,巧新,20250610,201670,11281824,55.30,56.50,55.30,55.90,+0.50,222
1563,巧新,20250611,262823,14591967,55.80,56.00,55.10,55.70,-0.20,305
1563,巧新,20250612,285274,15956893,55.90,56.80,55.50,56.40,+0.70,212
1563,巧新,20250613,338739,18865889,56.00,56.10,55.40,55.60,-0.80,387
1563,巧新,20250616,173129,9611214,55.60,56.00,55.00,55.90,+0.30,172
1563,巧新,20250617,244873,13797805,56.40,57.00,55.90,56.70,+0.80,369
1563,巧新,20250618,206464,11703787,57.00,57.00,56.40,56.60,-0.10,361
1563,巧新,20250619,216060,11998598,56.50,56.50,55.20,55.30,-1.30,245
1563,巧新,20250620,485296,26129939,55.40,55.40,53.30,53.40,-1.90,433
