股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1595,川寶,20250602,125000,4112000,33.50,33.50,32.40,32.80,-1.00,102
1595,川寶,20250603,53000,1719000,32.80,32.95,32.45,32.70,-0.10,118
1595,川寶,20250604,43000,1421000,33.20,33.60,33.00,33.15,0.45,45
1595,川寶,20250605,55000,1812000,33.70,33.70,32.70,32.75,-0.40,65
1595,川寶,20250606,58000,1903000,32.60,32.90,32.45,32.85,0.10,42
1595,川寶,20250609,117000,3807000,32.60,32.85,32.20,32.20,-0.65,104
1595,川寶,20250610,389000,13233000,32.80,35.35,32.80,33.60,1.40,321
1595,川寶,20250611,261000,8628000,33.50,33.60,32.55,33.50,-0.10,225
1595,川寶,20250612,150000,4924000,33.60,33.95,32.15,32.75,-0.75,222
1595,川寶,20250613,153000,4961000,32.80,32.80,32.20,32.30,-0.45,147
1595,川寶,20250616,141000,4426000,31.60,31.85,31.10,31.50,-0.80,172
1595,川寶,20250617,88000,2805000,31.35,32.00,31.35,31.60,0.10,74
1595,川寶,20250618,49000,1560000,31.60,31.70,31.45,31.45,-0.15,71
1595,川寶,20250619,99000,3069000,31.45,31.70,30.95,31.00,-0.45,96
1595,川寶,20250620,88000,2704000,30.90,31.00,30.35,30.50,-0.50,84
