股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1611,中電,20250602,428740,5798298,13.85,13.85,13.35,13.35,-0.65,389
1611,中電,20250603,623181,8269869,13.55,13.55,13.15,13.25,-0.10,299
1611,中電,20250604,258788,3463647,13.30,13.45,13.30,13.35,+0.10,261
1611,中電,20250605,272606,3640484,13.35,13.45,13.30,13.30,-0.05,258
1611,中電,20250606,408246,5441751,13.35,13.45,13.25,13.30, 0.00,286
1611,中電,20250609,277489,3671806,13.50,13.50,13.10,13.25,-0.05,259
1611,中電,20250610,293990,3924151,13.25,13.45,13.20,13.30,+0.05,234
1611,中電,20250611,352503,4715142,13.30,13.45,13.25,13.40,+0.10,205
1611,中電,20250612,300143,4038464,13.40,13.55,13.35,13.40, 0.00,251
1611,中電,20250613,444539,5846490,13.30,13.30,13.05,13.05,-0.35,411
1611,中電,20250616,311703,4065993,13.05,13.15,12.85,13.15,+0.10,227
1611,中電,20250617,174618,2302341,13.15,13.30,13.10,13.25,+0.10,181
1611,中電,20250618,303793,4055190,13.25,13.45,13.25,13.30,+0.05,242
1611,中電,20250619,492680,6509782,13.25,13.50,13.00,13.10,-0.20,384
1611,中電,20250620,1535195,19442287,13.10,13.10,12.60,12.60,-0.50,491
