股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1717,長興,20250602,2182572,55494849,26.00,26.00,25.25,25.35,-0.60,"1,317"
1717,長興,20250603,1480477,37546482,25.50,25.60,25.25,25.45,+0.10,842
1717,長興,20250604,1240254,31665784,25.45,25.70,25.25,25.70,+0.25,734
1717,長興,20250605,1456300,37247402,25.55,25.75,25.40,25.60,-0.10,740
1717,長興,20250606,1165656,29703538,25.60,25.60,25.40,25.50,-0.10,544
1717,長興,20250609,928743,23698257,25.75,25.80,25.40,25.50, 0.00,459
1717,長興,20250610,1178783,30255249,25.40,25.85,25.40,25.55,+0.05,684
1717,長興,20250611,1026007,26230819,25.55,25.80,25.45,25.55, 0.00,612
1717,長興,20250612,1072030,27414204,25.60,25.65,25.50,25.50,-0.05,536
1717,長興,20250613,1611430,40912663,25.35,25.60,25.15,25.40,-0.10,970
1717,長興,20250616,1173194,30084483,25.55,25.80,25.25,25.75,+0.35,592
1717,長興,20250617,1778031,45222390,25.80,25.80,25.25,25.35,-0.40,942
1717,長興,20250618,862847,21946356,25.40,25.55,25.35,25.40,+0.05,640
1717,長興,20250619,1493738,37614255,25.40,25.50,25.00,25.00,-0.40,747
1717,長興,20250620,8073166,197197596,25.05,25.20,24.30,24.30,-0.70,"1,291"
