股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1734,杏輝,20250602,228416,7494235,33.00,33.00,32.60,32.75,-0.25,236
1734,杏輝,20250603,189446,6145862,32.75,32.90,32.15,32.20,-0.55,532
1734,杏輝,20250604,358533,11728034,32.20,33.20,32.00,33.10,+0.90,343
1734,杏輝,20250605,179915,5898445,33.10,33.10,32.55,32.55,-0.55,295
1734,杏輝,20250606,94092,3058955,32.50,32.70,32.35,32.60,+0.05,140
1734,杏輝,20250609,109388,3568072,32.80,32.80,32.55,32.60, 0.00,145
1734,杏輝,20250610,96331,3150428,32.60,32.85,32.60,32.65,+0.05,138
1734,杏輝,20250611,137643,4519961,32.90,33.00,32.65,32.70,+0.05,179
1734,杏輝,20250612,116978,3807671,32.75,32.80,32.45,32.50,-0.20,343
1734,杏輝,20250613,160325,5214611,32.30,32.75,32.30,32.65,+0.15,222
1734,杏輝,20250616,74434,2425314,32.60,32.75,32.35,32.60,-0.05,120
1734,杏輝,20250617,115559,3760391,32.50,32.70,32.45,32.55,-0.05,218
1734,杏輝,20250618,116685,3768698,32.55,32.55,32.15,32.15,-0.40,208
1734,杏輝,20250619,202534,6451849,32.15,32.25,31.70,31.90,-0.25,212
1734,杏輝,20250620,162195,5193206,31.95,32.30,31.70,32.30,+0.40,194
