股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1736,喬山,20250602,927728,132298285,146.50,148.00,140.00,141.00,-8.00,970
1736,喬山,20250603,785969,113727544,144.00,147.00,142.50,144.50,+3.50,919
1736,喬山,20250604,616263,91904849,147.00,151.50,146.50,149.50,+5.00,635
1736,喬山,20250605,396795,59116109,149.50,152.00,146.50,146.50,-3.00,539
1736,喬山,20250606,554424,80558231,146.50,147.50,144.00,144.50,-2.00,684
1736,喬山,20250609,595217,87131186,146.50,149.00,143.50,147.50,+3.00,928
1736,喬山,20250610,439034,64876896,150.00,151.00,146.00,146.50,-1.00,513
1736,喬山,20250611,414935,60178940,148.50,148.50,144.00,144.00,-2.50,443
1736,喬山,20250612,754376,108568273,144.00,145.50,142.00,145.50,+1.50,619
1736,喬山,20250613,732110,103531539,144.00,144.50,139.50,142.00,-3.50,826
1736,喬山,20250616,1585999,233061168,144.50,153.00,143.00,143.00,+1.00,"1,569"
1736,喬山,20250617,1068998,158591752,145.50,151.50,144.00,150.00,+7.00,"1,020"
1736,喬山,20250618,1284427,193481856,148.50,154.00,147.50,149.50,-0.50,"1,440"
1736,喬山,20250619,2723436,424931733,149.50,160.50,148.00,155.50,+6.00,"2,559"
1736,喬山,20250620,2414107,356537531,154.00,158.00,145.00,145.00,-10.50,"1,920"
