股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1784,訊聯,20250602,106000,7383000,70.10,70.20,69.10,69.50,-1.30,175
1784,訊聯,20250603,56000,3888000,69.50,70.20,69.10,69.10,-0.40,85
1784,訊聯,20250604,64000,4445000,69.80,69.90,69.10,69.90,0.80,103
1784,訊聯,20250605,54000,3799000,69.50,70.60,69.40,69.60,-0.30,103
1784,訊聯,20250606,48000,3387000,70.90,70.90,69.60,70.00,0.40,61
1784,訊聯,20250609,32000,2276000,70.20,70.40,69.90,70.30,0.30,62
1784,訊聯,20250610,60000,4248000,70.50,71.50,70.00,70.00,-0.30,78
1784,訊聯,20250611,144000,10204000,70.50,71.50,70.30,71.40,1.40,132
1784,訊聯,20250612,103000,7310000,71.40,71.80,70.20,70.20,-1.20,126
1784,訊聯,20250613,160000,11064000,70.50,70.50,68.30,68.40,-1.80,234
1784,訊聯,20250616,68000,4586000,67.60,68.00,67.00,67.60,-0.80,94
1784,訊聯,20250617,90000,6118000,69.80,69.80,67.40,67.60,0.00,104
1784,訊聯,20250618,273000,19154000,68.50,71.50,68.40,70.30,2.70,270
1784,訊聯,20250619,149000,10505000,70.30,71.50,69.70,69.70,-0.60,180
1784,訊聯,20250620,329000,23073000,70.00,71.40,68.00,70.60,0.90,371
