股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1788,杏昌,20250602,14000,2054000,142.50,143.50,142.50,143.50,0.00,75
1788,杏昌,20250603,3000,495000,143.50,143.50,143.50,143.50,0.00,64
1788,杏昌,20250604,8000,1114000,143.50,143.50,142.50,142.50,-1.00,77
1788,杏昌,20250605,12000,1679000,142.50,143.00,142.00,143.00,0.50,47
1788,杏昌,20250606,7000,987000,142.50,143.00,142.50,143.00,0.00,36
1788,杏昌,20250609,21000,2995000,144.00,144.00,142.00,143.00,0.00,71
1788,杏昌,20250610,7000,952000,143.50,143.50,143.00,143.50,0.50,41
1788,杏昌,20250611,13000,1813000,143.50,143.50,143.00,143.50,0.00,35
1788,杏昌,20250612,11000,1521000,144.00,144.00,143.50,143.50,0.00,80
1788,杏昌,20250613,28000,4091000,144.00,144.50,144.00,144.50,1.00,65
1788,杏昌,20250616,37000,5351000,144.50,144.50,144.00,144.00,-0.50,99
1788,杏昌,20250617,26000,3691000,144.00,145.00,144.00,144.50,0.50,148
1788,杏昌,20250618,15000,2103000,144.50,144.50,144.00,144.50,0.00,79
1788,杏昌,20250619,41000,5954000,144.50,144.50,143.50,143.50,-1.00,115
1788,杏昌,20250620,36000,5218000,143.50,143.50,143.00,143.50,0.00,299
