股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1907,永豐餘,20250602,1575962,42462907,27.35,27.45,26.55,26.75,-0.95,789
1907,永豐餘,20250603,1004912,26624561,26.80,26.90,26.35,26.40,-0.35,595
1907,永豐餘,20250604,747288,19798852,26.40,26.80,26.35,26.45,+0.05,435
1907,永豐餘,20250605,960289,25268698,26.40,26.60,26.10,26.25,-0.20,793
1907,永豐餘,20250606,514083,13458155,26.40,26.40,26.10,26.10,-0.15,425
1907,永豐餘,20250609,870003,22518642,26.20,26.20,25.70,25.90,-0.20,441
1907,永豐餘,20250610,733105,19176496,25.90,26.35,25.90,26.10,+0.20,505
1907,永豐餘,20250611,877535,22668115,26.10,26.15,25.70,25.85,-0.25,610
1907,永豐餘,20250612,665285,17147920,25.90,26.00,25.70,25.70,-0.15,468
1907,永豐餘,20250613,1295817,32455519,25.45,25.45,24.90,24.95,-0.75,986
1907,永豐餘,20250616,705734,17425268,24.80,24.90,24.50,24.75,-0.20,587
1907,永豐餘,20250617,1588260,38825124,24.80,24.90,24.20,24.25,-0.50,977
1907,永豐餘,20250618,1051420,25666524,24.25,24.70,24.10,24.50,+0.25,705
1907,永豐餘,20250619,1621935,38901007,24.40,24.40,23.75,23.80,-0.70,"1,053"
1907,永豐餘,20250620,7456339,175925979,23.75,23.80,23.30,23.60,-0.20,912
