股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2008,高興昌,20250602,26551,657222,24.15,25.05,24.15,24.90,-0.15,28
2008,高興昌,20250603,10154,254388,24.90,25.70,24.80,24.85,-0.05,15
2008,高興昌,20250604,13261,339728,25.25,26.00,25.25,26.00,+1.15,30
2008,高興昌,20250605,7800,197221,25.20,25.60,25.20,25.20,-0.80,14
2008,高興昌,20250606,8494,212931,25.20,25.20,25.00,25.00,-0.20,10
2008,高興昌,20250609,16390,397775,25.00,25.00,24.05,24.15,-0.85,24
2008,高興昌,20250610,17538,437509,24.70,25.50,24.65,25.50,+1.35,24
2008,高興昌,20250611,3051,73592,24.30,24.30,24.30,24.30,-1.20,17
2008,高興昌,20250612,11064,268655,24.30,24.35,24.05,24.35,+0.05,16
2008,高興昌,20250613,15701,379236,24.15,24.35,24.05,24.05,-0.30,25
2008,高興昌,20250616,28712,699240,24.00,24.95,24.00,24.80,+0.75,33
2008,高興昌,20250617,8051,199677,24.80,24.80,24.80,24.80, 0.00,9
2008,高興昌,20250618,11320,277918,24.15,25.25,24.15,24.70,-0.10,18
2008,高興昌,20250619,43322,1060693,24.05,24.85,24.05,24.15,-0.55,47
2008,高興昌,20250620,32306,788583,24.15,24.85,24.10,24.50,+0.35,39
