股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2009,第一銅,20250602,1231265,40096052,32.95,33.70,32.15,32.15,-0.80,905
2009,第一銅,20250603,604974,19418861,32.50,32.50,31.95,31.95,-0.20,456
2009,第一銅,20250604,829334,27052805,32.15,32.95,32.15,32.65,+0.70,534
2009,第一銅,20250605,576640,18916733,32.65,33.20,32.55,32.55,-0.10,432
2009,第一銅,20250606,641835,21219205,33.05,33.45,32.85,32.95,+0.40,463
2009,第一銅,20250609,851400,27594479,33.25,33.25,32.15,32.35,-0.60,583
2009,第一銅,20250610,1096614,36267023,32.50,33.35,32.50,32.80,+0.45,679
2009,第一銅,20250611,591076,19475574,32.90,33.25,32.60,33.05,+0.25,471
2009,第一銅,20250612,528367,17490507,33.05,33.30,32.80,33.20,+0.15,380
2009,第一銅,20250613,981333,32564230,33.20,33.55,32.85,33.00,-0.20,617
2009,第一銅,20250616,381872,12547332,32.90,33.10,32.45,33.10,+0.10,316
2009,第一銅,20250617,1379247,45740763,33.40,34.10,32.60,32.65,-0.45,894
2009,第一銅,20250618,453645,14921431,32.85,33.10,32.65,33.00,+0.35,373
2009,第一銅,20250619,1229504,40821372,33.00,33.75,32.75,32.75,-0.25,893
2009,第一銅,20250620,1105129,35286705,32.65,32.65,31.50,31.75,-1.00,885
