股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2023,燁輝,20250602,3756345,55743604,14.95,15.05,14.60,15.00,-0.20,"1,309"
2023,燁輝,20250603,1835461,27563226,15.00,15.10,14.90,15.10,+0.10,618
2023,燁輝,20250604,2144178,32696607,15.05,15.35,15.05,15.30,+0.20,725
2023,燁輝,20250605,1745944,26743298,15.20,15.40,15.15,15.35,+0.05,534
2023,燁輝,20250606,1233164,18950973,15.30,15.40,15.30,15.40,+0.05,592
2023,燁輝,20250609,2052141,30969654,15.40,15.40,14.85,15.20,-0.20,790
2023,燁輝,20250610,1596917,24483537,15.25,15.45,15.10,15.30,+0.10,752
2023,燁輝,20250611,1050586,16129196,15.20,15.40,15.20,15.35,+0.05,572
2023,燁輝,20250612,782161,12013234,15.35,15.45,15.30,15.35, 0.00,388
2023,燁輝,20250613,1801605,27441985,15.20,15.30,15.10,15.25,-0.10,751
2023,燁輝,20250616,1379026,21071426,15.20,15.35,15.15,15.30,+0.05,587
2023,燁輝,20250617,1058004,16188983,15.30,15.35,15.25,15.30, 0.00,510
2023,燁輝,20250618,1537328,23767397,15.25,15.55,15.25,15.45,+0.15,887
2023,燁輝,20250619,1438131,22043300,15.40,15.45,15.25,15.35,-0.10,598
2023,燁輝,20250620,15298235,227547146,15.30,15.40,14.80,14.80,-0.55,"1,272"
