股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2031,新光鋼,20250602,459109,19006885,41.65,41.75,41.00,41.25,-0.55,389
2031,新光鋼,20250603,231045,9531600,41.40,41.50,41.05,41.35,+0.10,296
2031,新光鋼,20250604,324937,13529334,41.40,41.80,41.35,41.75,+0.40,309
2031,新光鋼,20250605,345546,14681875,42.05,42.80,42.05,42.35,+0.60,347
2031,新光鋼,20250606,344568,14648863,42.55,42.65,41.80,42.65,+0.30,246
2031,新光鋼,20250609,653740,28371531,42.80,43.85,42.80,43.20,+0.55,451
2031,新光鋼,20250610,680219,28919109,43.15,43.20,42.05,42.10,-1.10,634
2031,新光鋼,20250611,505608,21153783,42.05,42.10,41.60,42.00,-0.10,385
2031,新光鋼,20250612,547608,23148449,42.25,42.70,42.05,42.25,+0.25,320
2031,新光鋼,20250613,1571909,64566035,41.60,41.60,40.75,40.90,-1.35,"1,106"
2031,新光鋼,20250616,758309,30932375,40.40,41.30,40.15,41.05,+0.15,423
2031,新光鋼,20250617,857087,35374433,41.10,41.55,40.80,41.40,+0.35,440
2031,新光鋼,20250618,1109100,46352902,41.55,42.10,41.40,41.75,+0.35,621
2031,新光鋼,20250619,3144799,121772510,39.85,39.85,37.50,38.20,X0.00,"1,646"
2031,新光鋼,20250620,2057407,77472715,38.20,38.20,37.30,37.65,-0.55,709
