股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2108,南帝,20250602,2061492,51925755,24.55,25.70,24.50,25.10,+0.40,"1,432"
2108,南帝,20250603,562634,14104303,25.35,25.40,24.75,25.15,+0.05,543
2108,南帝,20250604,849758,21851391,25.25,26.05,25.25,25.75,+0.60,723
2108,南帝,20250605,551956,14216752,25.75,26.00,25.60,25.70,-0.05,480
2108,南帝,20250606,487603,12483435,25.95,26.10,25.35,25.40,-0.30,634
2108,南帝,20250609,901895,22372341,25.70,25.70,24.55,24.75,-0.65,813
2108,南帝,20250610,443453,11062531,25.00,25.10,24.80,24.80,+0.05,390
2108,南帝,20250611,662053,16325939,24.85,24.85,24.55,24.65,-0.15,429
2108,南帝,20250612,297025,7313528,24.65,24.70,24.55,24.60,-0.05,321
2108,南帝,20250613,1294580,31206307,24.50,24.50,23.95,24.05,-0.55,"1,024"
2108,南帝,20250616,423680,10197522,24.05,24.25,23.75,24.25,+0.20,402
2108,南帝,20250617,385737,9271975,24.30,24.45,23.85,24.00,-0.25,378
2108,南帝,20250618,322612,7781254,24.25,24.25,23.95,24.10,+0.10,333
2108,南帝,20250619,591874,14051921,23.90,23.95,23.65,23.70,-0.40,516
2108,南帝,20250620,3356520,79230127,23.75,23.85,23.50,23.60,-0.10,531
