股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2211,長榮鋼,20250602,1263803,113308829,89.50,90.80,88.90,89.00,-1.50,"1,096"
2211,長榮鋼,20250603,1192305,106572126,89.40,90.20,88.70,89.40,+0.40,966
2211,長榮鋼,20250604,1169041,107083484,90.00,92.20,89.60,92.20,+2.80,"1,177"
2211,長榮鋼,20250605,999760,92690037,92.20,94.10,91.60,92.30,+0.10,"1,921"
2211,長榮鋼,20250606,268671,24747061,92.30,92.90,91.50,91.50,-0.80,422
2211,長榮鋼,20250609,287405,26257609,91.80,92.30,91.00,91.50, 0.00,710
2211,長榮鋼,20250610,428959,39235006,92.00,92.10,90.70,90.80,-0.70,498
2211,長榮鋼,20250611,813861,72263449,89.50,89.50,88.30,88.90,-1.90,800
2211,長榮鋼,20250612,207637,18470769,88.90,89.30,88.70,88.80,-0.10,209
2211,長榮鋼,20250613,288444,25507921,88.30,88.90,88.10,88.10,-0.70,358
2211,長榮鋼,20250616,356328,31402486,87.80,88.80,87.60,88.00,-0.10,352
2211,長榮鋼,20250617,1317460,115059741,88.00,88.70,86.20,88.00, 0.00,"1,165"
2211,長榮鋼,20250618,2520495,217938917,87.00,87.30,85.60,86.30,-1.70,"2,071"
2211,長榮鋼,20250619,3300142,278261836,86.00,86.50,83.10,83.50,-2.80,"2,765"
2211,長榮鋼,20250620,3462076,288548696,83.50,84.00,82.60,83.60,+0.10,"1,939"
