股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2231,為升,20250602,256498,20868166,83.00,83.00,80.80,81.00,-2.50,275
2231,為升,20250603,252534,20150342,81.40,81.70,79.00,79.00,-2.00,346
2231,為升,20250604,479733,37319184,79.40,79.60,76.40,76.50,-2.50,679
2231,為升,20250605,377318,28820717,76.80,77.30,75.40,75.50,-1.00,466
2231,為升,20250606,298214,22266372,75.90,75.90,74.10,74.10,-1.40,415
2231,為升,20250609,417769,30681944,74.80,75.10,72.40,73.50,-0.60,464
2231,為升,20250610,198816,14768772,73.70,75.10,73.50,73.90,+0.40,375
2231,為升,20250611,218028,16109887,74.80,74.80,73.30,74.10,+0.20,250
2231,為升,20250612,251878,19046282,74.30,76.60,74.10,76.20,+2.10,291
2231,為升,20250613,277706,20733352,75.30,75.40,74.30,74.60,-1.60,350
2231,為升,20250616,203160,14970789,74.00,74.00,73.30,73.60,-1.00,270
2231,為升,20250617,179122,13288722,74.40,74.90,73.50,74.30,+0.70,201
2231,為升,20250618,373696,27889658,74.50,75.70,73.80,74.00,-0.30,343
2231,為升,20250619,234911,17142961,74.40,74.40,72.40,73.10,-0.90,330
2231,為升,20250620,996337,70584603,72.80,73.00,70.50,70.50,-2.60,526
