股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2324,仁寶,20250602,83273914,2273952367,28.20,28.30,27.00,27.20,-1.60,"30,866"
2324,仁寶,20250603,58352478,1595115347,27.55,27.80,27.15,27.45,+0.25,"19,922"
2324,仁寶,20250604,43443088,1224546973,27.60,28.40,27.60,28.35,+0.90,"13,371"
2324,仁寶,20250605,28658152,815673641,28.35,28.75,28.25,28.35, 0.00,"10,718"
2324,仁寶,20250606,23971093,684383908,28.45,28.70,28.30,28.55,+0.20,"6,581"
2324,仁寶,20250609,28966299,825507101,28.75,28.75,28.20,28.55, 0.00,"7,889"
2324,仁寶,20250610,24997531,711322419,28.20,28.70,28.15,28.45,-0.10,"7,450"
2324,仁寶,20250611,22943050,655689104,28.55,28.80,28.35,28.50,+0.05,"7,851"
2324,仁寶,20250612,30884962,894301132,28.70,29.20,28.65,29.00,+0.50,"12,095"
2324,仁寶,20250613,26244537,751182525,28.85,28.85,28.40,28.65,-0.35,"10,067"
2324,仁寶,20250616,11880300,336941250,28.55,28.55,28.15,28.45,-0.20,"4,739"
2324,仁寶,20250617,21950074,622921291,28.65,28.70,28.15,28.50,+0.05,"7,374"
2324,仁寶,20250618,34440537,980406121,28.60,28.85,28.30,28.50, 0.00,"8,362"
2324,仁寶,20250619,31194919,875295418,28.50,28.65,27.75,27.95,-0.55,"10,100"
2324,仁寶,20250620,27736045,761483200,27.85,27.95,27.30,27.40,-0.55,"7,470"
