股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2337,旺宏,20250602,12885562,277002821,21.50,21.85,21.15,21.60,+0.05,"4,923"
2337,旺宏,20250603,8615268,184411257,21.70,21.75,21.20,21.25,-0.35,"3,275"
2337,旺宏,20250604,14611504,315384369,21.50,21.80,21.20,21.60,+0.35,"4,536"
2337,旺宏,20250605,21054683,464780787,21.80,22.50,21.55,22.05,+0.45,"7,735"
2337,旺宏,20250606,24700373,545706953,22.15,22.45,21.80,21.85,-0.20,"8,640"
2337,旺宏,20250609,10584065,232639905,21.80,22.15,21.80,21.85, 0.00,"3,780"
2337,旺宏,20250610,11915337,262257779,22.10,22.25,21.80,21.80,-0.05,"3,844"
2337,旺宏,20250611,13290465,292288898,22.00,22.20,21.70,22.05,+0.25,"4,437"
2337,旺宏,20250612,15513798,344232445,22.10,22.45,21.85,22.10,+0.05,"5,962"
2337,旺宏,20250613,12485855,272059963,21.95,22.15,21.60,21.60,-0.50,"4,393"
2337,旺宏,20250616,7638391,165264923,21.50,21.90,21.30,21.90,+0.30,"2,900"
2337,旺宏,20250617,13650657,303052556,22.15,22.55,21.95,22.10,+0.20,"4,620"
2337,旺宏,20250618,45392764,1041345852,22.10,23.50,22.10,22.80,+0.70,"17,005"
2337,旺宏,20250619,19425053,437222688,23.05,23.15,22.15,22.20,-0.60,"8,092"
2337,旺宏,20250620,16364779,353954634,22.30,22.40,21.25,21.25,-0.95,"5,756"
