股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2348,海悅,20250602,483095,58697347,124.50,124.50,119.00,124.00,+0.50,660
2348,海悅,20250603,852817,107477233,124.50,127.50,123.00,125.50,+1.50,736
2348,海悅,20250604,2972222,362311636,124.50,127.00,119.50,120.00,-5.50,"2,941"
2348,海悅,20250605,4245368,496363185,119.00,119.50,113.00,117.50,-2.50,"3,216"
2348,海悅,20250606,2989994,344816100,115.00,117.50,114.00,114.50,-3.00,"2,394"
2348,海悅,20250609,3144886,354035413,114.50,115.50,110.50,112.50,-2.00,"2,666"
2348,海悅,20250610,3026051,348589692,113.00,116.50,112.50,116.00,+3.50,"2,417"
2348,海悅,20250611,3367041,395282789,116.50,119.50,116.00,118.50,+2.50,"2,381"
2348,海悅,20250612,2738764,322534116,118.00,120.00,116.00,120.00,+1.50,"1,880"
2348,海悅,20250613,3295056,381338079,119.50,120.50,113.00,113.00,-7.00,"2,811"
2348,海悅,20250616,1300705,147992481,113.50,115.00,111.50,114.50,+1.50,"1,214"
2348,海悅,20250617,1280106,144161269,113.50,116.00,111.50,111.50,-3.00,"1,511"
2348,海悅,20250618,1234775,136194518,112.00,112.00,108.50,109.00,-2.50,"1,539"
2348,海悅,20250619,1824398,192931888,109.00,109.00,103.50,103.50,-5.50,"2,124"
2348,海悅,20250620,1483316,149570052,104.00,104.00,99.90,99.90,-3.60,"1,619"
