股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2356,英業達,20250602,29269509,1186341604,41.95,41.95,40.15,40.40,-1.75,"15,022"
2356,英業達,20250603,26685092,1078133211,40.85,40.85,40.10,40.55,+0.15,"13,718"
2356,英業達,20250604,16951325,699913126,40.65,41.60,40.65,41.60,+1.05,"8,195"
2356,英業達,20250605,9320513,387672961,41.65,41.80,41.45,41.60, 0.00,"4,523"
2356,英業達,20250606,8781031,361941126,41.55,41.60,41.00,41.10,-0.50,"4,433"
2356,英業達,20250609,6365736,263349230,41.60,41.60,41.10,41.40,+0.30,"4,027"
2356,英業達,20250610,8694319,363281205,41.50,42.00,41.40,41.85,+0.45,"4,301"
2356,英業達,20250611,6464579,271316366,42.15,42.15,41.75,42.10,+0.25,"3,671"
2356,英業達,20250612,18544581,794420514,42.10,43.25,41.95,43.05,+0.95,"9,492"
2356,英業達,20250613,22139922,962514592,42.90,44.10,42.55,43.80,+0.75,"11,012"
2356,英業達,20250616,10959219,476551686,43.30,43.90,43.05,43.90,+0.10,"5,904"
2356,英業達,20250617,13397833,581599038,44.10,44.40,42.75,42.80,-1.10,"7,290"
2356,英業達,20250618,10143201,429517250,42.65,43.00,42.05,42.25,-0.55,"6,840"
2356,英業達,20250619,10988614,455734789,42.10,42.15,41.20,41.20,-1.05,"6,837"
2356,英業達,20250620,16722043,677453246,41.45,41.50,40.30,40.35,-0.85,"7,594"
