股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2367,燿華,20250602,4588477,114648341,25.50,25.50,24.65,24.70,-1.00,"2,172"
2367,燿華,20250603,3131681,77749699,25.00,25.30,24.55,24.60,-0.10,"1,426"
2367,燿華,20250604,7372759,189729900,25.00,26.10,25.00,25.90,+1.30,"3,476"
2367,燿華,20250605,4581771,118948239,26.05,26.30,25.65,25.85,-0.05,"2,248"
2367,燿華,20250606,3670232,93692255,26.00,26.00,25.30,25.30,-0.55,"1,503"
2367,燿華,20250609,9757554,233286805,24.70,24.70,23.30,24.10,-1.20,"4,463"
2367,燿華,20250610,4970068,120268054,24.15,24.40,24.00,24.20,+0.10,"2,436"
2367,燿華,20250611,2967614,71595781,24.30,24.35,24.00,24.10,-0.10,"1,342"
2367,燿華,20250612,2500733,60057640,24.10,24.15,23.90,24.00,-0.10,"1,224"
2367,燿華,20250613,3109379,73436696,23.85,24.00,23.40,23.40,-0.60,"1,735"
2367,燿華,20250616,1696012,39745747,23.35,23.75,23.05,23.70,+0.30,919
2367,燿華,20250617,2539198,60246314,23.75,24.05,23.45,23.70, 0.00,"1,353"
2367,燿華,20250618,1688755,40388521,23.70,24.05,23.70,23.95,+0.25,"1,037"
2367,燿華,20250619,2351988,55009396,23.95,24.00,23.20,23.25,-0.70,"1,563"
2367,燿華,20250620,2923339,66951662,23.25,23.35,22.70,23.00,-0.25,"1,647"
