股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2375,凱美,20250602,324111,19113880,60.10,60.20,58.40,58.40,-2.30,325
2375,凱美,20250603,202733,11956493,58.80,59.60,58.70,58.70,+0.30,184
2375,凱美,20250604,575838,34910841,59.30,61.10,59.30,60.70,+2.00,495
2375,凱美,20250605,225160,13570053,61.40,61.40,59.50,59.70,-1.00,266
2375,凱美,20250606,183242,10834071,59.70,59.70,58.80,59.10,-0.60,189
2375,凱美,20250609,195244,11595171,59.50,59.90,58.90,59.30,+0.20,198
2375,凱美,20250610,638225,37266309,59.10,59.30,57.90,58.20,-1.10,628
2375,凱美,20250611,273285,15998993,58.40,59.10,57.90,58.60,+0.40,301
2375,凱美,20250612,160989,9423882,58.20,58.80,58.20,58.40,-0.20,185
2375,凱美,20250613,349630,20059696,58.20,58.20,56.80,56.80,-1.60,410
2375,凱美,20250616,207551,11770675,56.60,57.30,56.10,57.00,+0.20,222
2375,凱美,20250617,342520,19845175,57.20,58.70,57.20,57.50,+0.50,331
2375,凱美,20250618,221366,12783378,58.00,58.10,57.50,57.70,+0.20,211
2375,凱美,20250619,297643,16862405,57.80,57.90,56.10,56.20,-1.50,291
2375,凱美,20250620,241634,13381671,56.20,56.30,55.00,55.50,-0.70,249
