股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2376,技嘉,20250602,6486535,1728993862,272.00,272.00,263.50,266.00,-10.00,"23,726"
2376,技嘉,20250603,13785312,3870918267,271.00,284.00,271.00,282.50,+16.50,"14,146"
2376,技嘉,20250604,13490341,3864161899,289.50,291.00,281.00,287.00,+4.50,"23,338"
2376,技嘉,20250605,8176986,2356136703,288.00,291.50,286.00,287.50,+0.50,"6,991"
2376,技嘉,20250606,4156945,1185389230,288.50,288.50,281.00,288.00,+0.50,"4,715"
2376,技嘉,20250609,4108288,1184627204,289.50,290.00,286.50,289.50,+1.50,"4,573"
2376,技嘉,20250610,18661865,5313069140,290.00,290.50,279.50,287.00,-2.50,"100,145"
2376,技嘉,20250611,9857941,2819270452,288.50,291.00,282.50,284.00,-3.00,"9,553"
2376,技嘉,20250612,4723228,1341313037,283.50,286.50,281.50,283.00,-1.00,"4,530"
2376,技嘉,20250613,6129398,1752504569,283.00,288.00,282.00,287.00,+4.00,"5,855"
2376,技嘉,20250616,3967382,1124161825,285.00,285.00,282.50,283.00,-4.00,"9,810"
2376,技嘉,20250617,5794203,1654292134,288.00,288.50,282.50,283.00, 0.00,"7,518"
2376,技嘉,20250618,4995898,1419415312,285.00,285.00,282.50,285.00,+2.00,"5,914"
2376,技嘉,20250619,3282520,924017070,285.00,285.50,280.00,280.00,-5.00,"5,290"
2376,技嘉,20250620,4386212,1228436256,283.00,283.50,277.50,280.00, 0.00,"4,276"
