股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2405,輔信,20250602,1559536,25304042,16.65,16.65,16.05,16.30,-0.40,679
2405,輔信,20250603,765410,12473839,16.30,16.45,16.20,16.25,-0.05,345
2405,輔信,20250604,6657091,113777037,16.40,17.40,16.40,17.15,+0.90,"2,731"
2405,輔信,20250605,5869669,100858429,17.25,17.40,16.95,17.15, 0.00,"2,861"
2405,輔信,20250606,2162660,36465564,17.15,17.15,16.70,16.70,-0.45,"1,128"
2405,輔信,20250609,1547070,25657383,17.00,17.05,16.40,16.45,-0.25,922
2405,輔信,20250610,1490843,24927323,16.60,16.85,16.55,16.70,+0.25,743
2405,輔信,20250611,1350921,22578566,16.85,16.90,16.45,16.85,+0.15,670
2405,輔信,20250612,1194697,20128206,16.80,17.00,16.70,16.80,-0.05,612
2405,輔信,20250613,3055419,49981310,16.65,16.65,16.20,16.25,-0.55,"1,087"
2405,輔信,20250616,1027924,16630449,16.25,16.35,16.05,16.25, 0.00,493
2405,輔信,20250617,881039,14389269,16.40,16.60,16.15,16.15,-0.10,466
2405,輔信,20250618,965696,15791946,16.30,16.50,16.20,16.30,+0.15,454
2405,輔信,20250619,1152428,18537643,16.30,16.30,15.95,15.95,-0.35,672
2405,輔信,20250620,1279374,20169712,15.95,16.05,15.60,15.70,-0.25,767
