股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2413,環科,20250602,110923,2063028,19.00,19.00,18.35,18.60,-0.50,107
2413,環科,20250603,114717,2117289,18.60,18.85,18.35,18.40,-0.20,100
2413,環科,20250604,99175,1855591,18.60,18.90,18.50,18.70,+0.30,96
2413,環科,20250605,109794,2031015,18.65,18.80,18.30,18.50,-0.20,181
2413,環科,20250606,35035,648826,18.50,18.70,18.45,18.45,-0.05,97
2413,環科,20250609,117801,2153117,18.40,18.50,18.15,18.20,-0.25,204
2413,環科,20250610,59698,1106710,18.60,18.65,18.30,18.60,+0.40,56
2413,環科,20250611,106577,1956223,18.60,18.60,18.15,18.25,-0.35,105
2413,環科,20250612,129686,2394054,18.55,18.60,18.25,18.40,+0.15,99
2413,環科,20250613,141126,2551839,18.35,18.35,17.90,17.90,-0.50,120
2413,環科,20250616,75386,1332505,17.70,17.90,17.50,17.70,-0.20,103
2413,環科,20250617,132298,2356258,17.65,18.00,17.65,17.75,+0.05,105
2413,環科,20250618,51937,921465,17.65,17.90,17.60,17.80,+0.05,59
2413,環科,20250619,138327,2398275,17.70,17.70,17.10,17.15,-0.65,204
2413,環科,20250620,137393,2338502,17.15,17.45,16.80,17.05,-0.10,131
