股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2426,鼎元,20250602,477398,7708789,16.35,16.55,16.00,16.15,-0.55,368
2426,鼎元,20250603,459323,7357842,16.15,16.35,15.80,15.80,-0.35,311
2426,鼎元,20250604,593515,9576067,16.20,16.40,15.90,15.90,+0.10,399
2426,鼎元,20250605,365855,5859204,16.00,16.20,15.85,15.90, 0.00,255
2426,鼎元,20250606,486114,7706700,15.95,16.05,15.70,15.80,-0.10,285
2426,鼎元,20250609,619480,9781526,16.00,16.00,15.65,15.75,-0.05,319
2426,鼎元,20250610,623960,10040751,15.95,16.20,15.80,16.10,+0.35,341
2426,鼎元,20250611,699922,11268528,16.20,16.25,15.95,16.20,+0.10,332
2426,鼎元,20250612,682883,10956412,16.20,16.20,15.95,16.00,-0.20,339
2426,鼎元,20250613,684507,10743657,15.85,15.85,15.60,15.60,-0.40,464
2426,鼎元,20250616,450678,7010203,15.50,15.85,15.20,15.85,+0.25,299
2426,鼎元,20250617,327079,5158976,15.75,16.00,15.60,15.65,-0.20,270
2426,鼎元,20250618,363990,5747743,15.60,15.95,15.60,15.70,+0.05,290
2426,鼎元,20250619,523371,8070993,15.65,15.70,15.30,15.35,-0.35,388
2426,鼎元,20250620,1985688,30256592,15.25,15.35,14.95,15.30,-0.05,445
