股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2428,興勤,20250602,435733,58108299,136.00,136.00,131.50,134.00,-4.00,386
2428,興勤,20250603,147670,19805369,134.50,135.00,133.50,134.00, 0.00,161
2428,興勤,20250604,389396,53488674,135.50,138.50,135.50,137.50,+3.50,369
2428,興勤,20250605,157229,21513509,138.00,138.00,136.00,136.00,-1.50,233
2428,興勤,20250606,183802,24914153,135.50,136.50,135.00,135.00,-1.00,187
2428,興勤,20250609,203159,27180586,134.50,134.50,133.50,134.00,-1.00,184
2428,興勤,20250610,244849,33331263,135.00,137.00,134.50,136.00,+2.00,218
2428,興勤,20250611,170382,23265649,136.00,137.50,135.50,136.50,+0.50,194
2428,興勤,20250612,101799,13888429,136.50,137.00,136.00,136.50, 0.00,128
2428,興勤,20250613,336837,45086854,135.50,135.50,133.00,133.00,-3.50,381
2428,興勤,20250616,172028,22714843,133.00,133.50,131.00,132.50,-0.50,184
2428,興勤,20250617,137984,18457065,133.50,135.50,132.50,133.50,+1.00,158
2428,興勤,20250618,140649,18949207,133.50,135.50,133.50,135.00,+1.50,141
2428,興勤,20250619,146703,19578596,134.50,134.50,133.00,133.00,-2.00,185
2428,興勤,20250620,607604,79054995,132.50,132.50,129.00,130.00,-3.00,455
